Sequence ID,Start,End,Motif
>XP_068542885.1 glucose-6-phosphatase 2 isoform X1 [Anas acuta],,,None found
>XP_068542884.1 glucose-6-phosphatase 2 isoform X1 [Anas acuta],,,None found
>XP_068516944.1 glucose-6-phosphatase catalytic subunit 1 [Anas acuta],139,142,AMIDATION
>XP_068516944.1 glucose-6-phosphatase catalytic subunit 1 [Anas acuta],,,None found
>XP_068263951.1 glucose-6-phosphatase 2 isoform X2 [Nyctibius grandis],7,10,AMIDATION
>XP_068263951.1 glucose-6-phosphatase 2 isoform X2 [Nyctibius grandis],174,190,TNF_1
>XP_068263951.1 glucose-6-phosphatase 2 isoform X2 [Nyctibius grandis],,,None found
>XP_068263950.1 glucose-6-phosphatase 2 isoform X1 [Nyctibius grandis],214,230,TNF_1
>XP_068263950.1 glucose-6-phosphatase 2 isoform X1 [Nyctibius grandis],,,None found
>XP_068274984.1 glucose-6-phosphatase 3-like isoform X2 [Nyctibius grandis],,,None found
>XP_068274983.1 glucose-6-phosphatase 3-like isoform X1 [Nyctibius grandis],,,None found
>XP_068274982.1 glucose-6-phosphatase 3-like isoform X1 [Nyctibius grandis],,,None found
>XP_068274946.1 glucose-6-phosphatase 3-like [Nyctibius grandis],,,None found
>XP_068274591.1 glucose-6-phosphatase catalytic subunit 1 [Nyctibius grandis],139,142,AMIDATION
>XP_068274591.1 glucose-6-phosphatase catalytic subunit 1 [Nyctibius grandis],,,None found
>XP_068051908.1 glucose-6-phosphatase 2 isoform X11 [Anomalospiza imberbis],,,None found
>XP_068051907.1 glucose-6-phosphatase 2 isoform X10 [Anomalospiza imberbis],,,None found
>XP_068051906.1 glucose-6-phosphatase 2 isoform X9 [Anomalospiza imberbis],,,None found
>XP_068051905.1 glucose-6-phosphatase 2 isoform X8 [Anomalospiza imberbis],,,None found
>XP_068051904.1 glucose-6-phosphatase 2 isoform X8 [Anomalospiza imberbis],,,None found
>XP_068051903.1 glucose-6-phosphatase 2 isoform X7 [Anomalospiza imberbis],,,None found
>XP_068051902.1 glucose-6-phosphatase 2 isoform X6 [Anomalospiza imberbis],,,None found
>XP_068051901.1 glucose-6-phosphatase 2 isoform X5 [Anomalospiza imberbis],,,None found
>XP_068051900.1 glucose-6-phosphatase 2 isoform X4 [Anomalospiza imberbis],,,None found
>XP_068051899.1 glucose-6-phosphatase 2 isoform X3 [Anomalospiza imberbis],,,None found
>XP_068051898.1 glucose-6-phosphatase 2 isoform X2 [Anomalospiza imberbis],,,None found
>XP_068051897.1 glucose-6-phosphatase 2 isoform X1 [Anomalospiza imberbis],,,None found
>XP_068068072.1 glucose-6-phosphatase 3 [Anomalospiza imberbis],,,None found
>XP_068068063.1 glucose-6-phosphatase catalytic subunit 1 [Anomalospiza imberbis],,,None found
>XP_068023115.1 glucose-6-phosphatase catalytic subunit 1 [Melanerpes formicivorus],139,142,AMIDATION
>XP_068023115.1 glucose-6-phosphatase catalytic subunit 1 [Melanerpes formicivorus],,,None found
>XP_067994787.1 glucose-6-phosphatase 2 isoform X3 [Melanerpes formicivorus],214,230,TNF_1
>XP_067994787.1 glucose-6-phosphatase 2 isoform X3 [Melanerpes formicivorus],,,None found
>XP_067994786.1 glucose-6-phosphatase 2 isoform X2 [Melanerpes formicivorus],158,174,TNF_1
>XP_067994786.1 glucose-6-phosphatase 2 isoform X2 [Melanerpes formicivorus],,,None found
>XP_067994784.1 glucose-6-phosphatase 2 isoform X2 [Melanerpes formicivorus],158,174,TNF_1
>XP_067994784.1 glucose-6-phosphatase 2 isoform X2 [Melanerpes formicivorus],,,None found
>XP_067994783.1 glucose-6-phosphatase 2 isoform X1 [Melanerpes formicivorus],214,230,TNF_1
>XP_067994783.1 glucose-6-phosphatase 2 isoform X1 [Melanerpes formicivorus],,,None found
>XP_067994782.1 glucose-6-phosphatase 2 isoform X1 [Melanerpes formicivorus],214,230,TNF_1
>XP_067994782.1 glucose-6-phosphatase 2 isoform X1 [Melanerpes formicivorus],,,None found
>GAB0191554.1 glucose-6-phosphatase 2 [Grus japonensis],,,None found
>GAB0199138.1 glucose-6-phosphatase catalytic subunit 1 [Grus japonensis],139,142,AMIDATION
>GAB0199138.1 glucose-6-phosphatase catalytic subunit 1 [Grus japonensis],,,None found
>GAB0198952.1 glucose-6-phosphatase 3 [Grus japonensis],,,None found
>XP_013816219.2 glucose-6-phosphatase 2 [Apteryx mantelli],,,None found
>XP_067168026.1 glucose-6-phosphatase catalytic subunit 1 [Apteryx mantelli],351,354,AMIDATION
>XP_067168026.1 glucose-6-phosphatase catalytic subunit 1 [Apteryx mantelli],,,None found
">XP_067167892.1 glucose-6-phosphatase 3, partial [Apteryx mantelli]",,,None found
>XP_013026898.2 glucose-6-phosphatase 2 isoform X2 [Anser cygnoides],,,None found
>XP_066855654.1 glucose-6-phosphatase 2 isoform X1 [Anser cygnoides],,,None found
>XP_047907799.2 glucose-6-phosphatase catalytic subunit 1 [Anser cygnoides],139,142,AMIDATION
>XP_047907799.2 glucose-6-phosphatase catalytic subunit 1 [Anser cygnoides],,,None found
>XP_066837567.1 LOW QUALITY PROTEIN: glucose-6-phosphatase 3 [Anser cygnoides],,,None found
>XP_066409913.1 glucose-6-phosphatase 2 isoform X2 [Molothrus aeneus],,,None found
>XP_066409912.1 glucose-6-phosphatase 2 isoform X1 [Molothrus aeneus],,,None found
>XP_066423259.1 glucose-6-phosphatase 3 [Molothrus aeneus],,,None found
>XP_066423092.1 glucose-6-phosphatase catalytic subunit 1 [Molothrus aeneus],,,None found
>XP_066179419.1 glucose-6-phosphatase 2 [Sylvia atricapilla],,,None found
>XP_066193065.1 glucose-6-phosphatase 3 [Sylvia atricapilla],,,None found
>XP_066192882.1 glucose-6-phosphatase catalytic subunit 1 [Sylvia atricapilla],,,None found
>XP_066061379.1 glucose-6-phosphatase catalytic subunit 1 [Chamaea fasciata],,,None found
>XP_066061009.1 glucose-6-phosphatase 3 [Chamaea fasciata],,,None found
>XP_066045355.1 glucose-6-phosphatase 2 [Chamaea fasciata],,,None found
>XP_065696785.1 glucose-6-phosphatase 2 isoform X2 [Patagioenas fasciata],,,None found
>XP_065696784.1 glucose-6-phosphatase 2 isoform X1 [Patagioenas fasciata],,,None found
>XP_065606562.1 glucose-6-phosphatase 2 [Cyrtonyx montezumae],,,None found
>XP_065605175.1 glucose-6-phosphatase catalytic subunit 1 [Cyrtonyx montezumae],187,190,AMIDATION
>XP_065605175.1 glucose-6-phosphatase catalytic subunit 1 [Cyrtonyx montezumae],41,44,AMIDATION
>XP_065605175.1 glucose-6-phosphatase catalytic subunit 1 [Cyrtonyx montezumae],,,None found
>XP_065526544.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526543.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526542.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526540.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526539.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526538.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526537.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526536.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526535.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526534.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526533.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526532.1 glucose-6-phosphatase 2 isoform X2 [Lathamus discolor],,,None found
>XP_065526531.1 glucose-6-phosphatase 2 isoform X1 [Lathamus discolor],,,None found
>XP_065555470.1 glucose-6-phosphatase 3 [Lathamus discolor],,,None found
>XP_065555469.1 glucose-6-phosphatase 3 [Lathamus discolor],,,None found
>XP_065555467.1 glucose-6-phosphatase 3 [Lathamus discolor],,,None found
>XP_065555466.1 glucose-6-phosphatase 3 [Lathamus discolor],,,None found
>XP_065555465.1 glucose-6-phosphatase 3 [Lathamus discolor],,,None found
>XP_065555037.1 glucose-6-phosphatase catalytic subunit 1 [Lathamus discolor],139,142,AMIDATION
>XP_065555037.1 glucose-6-phosphatase catalytic subunit 1 [Lathamus discolor],,,None found
>XP_065494134.1 glucose-6-phosphatase 2 isoform X2 [Caloenas nicobarica],,,None found
>XP_065494133.1 glucose-6-phosphatase 2 isoform X1 [Caloenas nicobarica],,,None found
>XP_065507259.1 glucose-6-phosphatase catalytic subunit 1 [Caloenas nicobarica],353,356,AMIDATION
>XP_065507259.1 glucose-6-phosphatase catalytic subunit 1 [Caloenas nicobarica],139,142,AMIDATION
>XP_065507259.1 glucose-6-phosphatase catalytic subunit 1 [Caloenas nicobarica],,,None found
>XP_065507052.1 glucose-6-phosphatase 3 isoform X2 [Caloenas nicobarica],,,None found
>XP_065507051.1 glucose-6-phosphatase 3 isoform X1 [Caloenas nicobarica],303,324,LEUCINE_ZIPPER
>XP_065507051.1 glucose-6-phosphatase 3 isoform X1 [Caloenas nicobarica],,,None found
>XP_065507050.1 glucose-6-phosphatase 3 isoform X1 [Caloenas nicobarica],303,324,LEUCINE_ZIPPER
>XP_065507050.1 glucose-6-phosphatase 3 isoform X1 [Caloenas nicobarica],,,None found
>XP_064925836.1 glucose-6-phosphatase 2 isoform X4 [Columba livia],,,None found
>XP_064925835.1 glucose-6-phosphatase 2 isoform X4 [Columba livia],,,None found
>XP_064925834.1 glucose-6-phosphatase 2 isoform X4 [Columba livia],,,None found
>XP_064925833.1 glucose-6-phosphatase 2 isoform X4 [Columba livia],,,None found
>XP_064925832.1 glucose-6-phosphatase 2 isoform X3 [Columba livia],,,None found
>XP_021147137.2 glucose-6-phosphatase 2 isoform X1 [Columba livia],,,None found
>XP_064895655.1 glucose-6-phosphatase 3 [Columba livia],,,None found
>XP_005513636.3 glucose-6-phosphatase catalytic subunit 1 [Columba livia],139,142,AMIDATION
>XP_005513636.3 glucose-6-phosphatase catalytic subunit 1 [Columba livia],,,None found
>XP_021147138.1 glucose-6-phosphatase 2 isoform X4 [Columba livia],,,None found
>XP_013223190.1 glucose-6-phosphatase 2 isoform X4 [Columba livia],,,None found
>XP_005498696.1 glucose-6-phosphatase 2 isoform X4 [Columba livia],,,None found
>XP_005498695.1 glucose-6-phosphatase 2 isoform X2 [Columba livia],,,None found
>XP_064574326.1 glucose-6-phosphatase 2 isoform X2 [Zonotrichia leucophrys gambelii],,,None found
>XP_064574325.1 glucose-6-phosphatase 2 isoform X1 [Zonotrichia leucophrys gambelii],,,None found
>XP_064589836.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Zonotrichia leucophrys gambelii],,,None found
>XP_064589835.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Zonotrichia leucophrys gambelii],,,None found
>XP_064589421.1 glucose-6-phosphatase 3 isoform X2 [Zonotrichia leucophrys gambelii],,,None found
>XP_064589420.1 glucose-6-phosphatase 3 isoform X1 [Zonotrichia leucophrys gambelii],,,None found
>XP_064517044.1 glucose-6-phosphatase 2 isoform X5 [Pseudopipra pipra],,,None found
>XP_064517043.1 glucose-6-phosphatase 2 isoform X4 [Pseudopipra pipra],,,None found
>XP_064517042.1 glucose-6-phosphatase 2 isoform X3 [Pseudopipra pipra],,,None found
>XP_064517041.1 glucose-6-phosphatase 2 isoform X3 [Pseudopipra pipra],,,None found
>XP_064517040.1 glucose-6-phosphatase 2 isoform X3 [Pseudopipra pipra],,,None found
>XP_064517039.1 glucose-6-phosphatase 2 isoform X2 [Pseudopipra pipra],,,None found
>XP_064517038.1 glucose-6-phosphatase 2 isoform X1 [Pseudopipra pipra],,,None found
>XP_064517037.1 glucose-6-phosphatase 2 isoform X1 [Pseudopipra pipra],,,None found
>XP_064492582.1 glucose-6-phosphatase catalytic subunit 1 [Pseudopipra pipra],139,142,AMIDATION
>XP_064492582.1 glucose-6-phosphatase catalytic subunit 1 [Pseudopipra pipra],,,None found
>XP_064492525.1 glucose-6-phosphatase 3 isoform X2 [Pseudopipra pipra],,,None found
>XP_064492523.1 glucose-6-phosphatase 3 isoform X1 [Pseudopipra pipra],,,None found
>XP_064370959.1 glucose-6-phosphatase 2 isoform X2 [Dromaius novaehollandiae],,,None found
>XP_064380891.1 glucose-6-phosphatase catalytic subunit 1 [Dromaius novaehollandiae],349,352,AMIDATION
>XP_064380891.1 glucose-6-phosphatase catalytic subunit 1 [Dromaius novaehollandiae],,,None found
>XP_064380654.1 glucose-6-phosphatase 3 [Dromaius novaehollandiae],282,285,AMIDATION
>XP_064380654.1 glucose-6-phosphatase 3 [Dromaius novaehollandiae],,,None found
>XP_064380653.1 glucose-6-phosphatase 3 [Dromaius novaehollandiae],282,285,AMIDATION
>XP_064380653.1 glucose-6-phosphatase 3 [Dromaius novaehollandiae],,,None found
>XP_064380652.1 glucose-6-phosphatase 3 [Dromaius novaehollandiae],282,285,AMIDATION
>XP_064380652.1 glucose-6-phosphatase 3 [Dromaius novaehollandiae],,,None found
>XP_025949695.1 glucose-6-phosphatase 2 isoform X3 [Dromaius novaehollandiae],,,None found
>XP_025949687.1 glucose-6-phosphatase 2 isoform X3 [Dromaius novaehollandiae],,,None found
>XP_025949679.1 glucose-6-phosphatase 2 isoform X3 [Dromaius novaehollandiae],,,None found
>XP_025949666.1 glucose-6-phosphatase 2 isoform X1 [Dromaius novaehollandiae],,,None found
>XP_064307602.1 glucose-6-phosphatase 2 isoform X6 [Phalacrocorax carbo],,,None found
>XP_064307601.1 glucose-6-phosphatase 2 isoform X5 [Phalacrocorax carbo],,,None found
>XP_064307599.1 glucose-6-phosphatase 2 isoform X4 [Phalacrocorax carbo],,,None found
>XP_064307598.1 glucose-6-phosphatase 2 isoform X3 [Phalacrocorax carbo],,,None found
>XP_064307597.1 glucose-6-phosphatase 2 isoform X2 [Phalacrocorax carbo],,,None found
>XP_064307596.1 glucose-6-phosphatase 2 isoform X2 [Phalacrocorax carbo],,,None found
>XP_064307595.1 glucose-6-phosphatase 2 isoform X2 [Phalacrocorax carbo],,,None found
>XP_064329509.1 glucose-6-phosphatase 3 [Phalacrocorax carbo],,,None found
>XP_064329508.1 glucose-6-phosphatase 3 [Phalacrocorax carbo],,,None found
>XP_064329507.1 glucose-6-phosphatase 3 [Phalacrocorax carbo],,,None found
>XP_064329345.1 glucose-6-phosphatase catalytic subunit 1 [Phalacrocorax carbo],139,142,AMIDATION
>XP_064329345.1 glucose-6-phosphatase catalytic subunit 1 [Phalacrocorax carbo],,,None found
>XP_009510339.1 glucose-6-phosphatase 2 isoform X1 [Phalacrocorax carbo],,,None found
>XP_064255734.1 glucose-6-phosphatase catalytic subunit 1 [Passer domesticus],,,None found
>XP_064255641.1 glucose-6-phosphatase 3 [Passer domesticus],,,None found
>XP_064290644.1 glucose-6-phosphatase 2 isoform X10 [Passer domesticus],,,None found
>XP_064290643.1 glucose-6-phosphatase 2 isoform X10 [Passer domesticus],,,None found
>XP_064290642.1 glucose-6-phosphatase 2 isoform X10 [Passer domesticus],,,None found
>XP_064290641.1 glucose-6-phosphatase 2 isoform X9 [Passer domesticus],,,None found
>XP_064290640.1 glucose-6-phosphatase 2 isoform X9 [Passer domesticus],,,None found
>XP_064290639.1 glucose-6-phosphatase 2 isoform X8 [Passer domesticus],,,None found
>XP_064290638.1 glucose-6-phosphatase 2 isoform X7 [Passer domesticus],,,None found
>XP_064290636.1 glucose-6-phosphatase 2 isoform X6 [Passer domesticus],,,None found
>XP_064290635.1 glucose-6-phosphatase 2 isoform X6 [Passer domesticus],,,None found
>XP_064290634.1 glucose-6-phosphatase 2 isoform X6 [Passer domesticus],,,None found
>XP_064290633.1 glucose-6-phosphatase 2 isoform X5 [Passer domesticus],,,None found
>XP_064290632.1 glucose-6-phosphatase 2 isoform X5 [Passer domesticus],,,None found
>XP_064290631.1 glucose-6-phosphatase 2 isoform X5 [Passer domesticus],,,None found
>XP_064290630.1 glucose-6-phosphatase 2 isoform X4 [Passer domesticus],,,None found
>XP_064290629.1 glucose-6-phosphatase 2 isoform X3 [Passer domesticus],,,None found
>XP_064290628.1 glucose-6-phosphatase 2 isoform X3 [Passer domesticus],,,None found
>XP_064290627.1 glucose-6-phosphatase 2 isoform X3 [Passer domesticus],,,None found
>XP_064290625.1 glucose-6-phosphatase 2 isoform X3 [Passer domesticus],,,None found
>XP_064290624.1 glucose-6-phosphatase 2 isoform X2 [Passer domesticus],,,None found
>XP_064290623.1 glucose-6-phosphatase 2 isoform X1 [Passer domesticus],,,None found
>XP_064030733.1 glucose-6-phosphatase 3 [Pogoniulus pusillus],,,None found
>XP_064030732.1 glucose-6-phosphatase 3 [Pogoniulus pusillus],,,None found
>XP_064030731.1 glucose-6-phosphatase 3 [Pogoniulus pusillus],,,None found
>XP_064030730.1 glucose-6-phosphatase 3 [Pogoniulus pusillus],,,None found
>XP_064030729.1 glucose-6-phosphatase 3 [Pogoniulus pusillus],,,None found
>XP_064030728.1 glucose-6-phosphatase 3 [Pogoniulus pusillus],,,None found
>XP_064030190.1 glucose-6-phosphatase catalytic subunit 1 [Pogoniulus pusillus],,,None found
>XP_064019643.1 glucose-6-phosphatase 2 isoform X6 [Pogoniulus pusillus],,,None found
>XP_064019633.1 glucose-6-phosphatase 2 isoform X5 [Pogoniulus pusillus],,,None found
>XP_064019624.1 glucose-6-phosphatase 2 isoform X4 [Pogoniulus pusillus],,,None found
>XP_064019617.1 glucose-6-phosphatase 2 isoform X3 [Pogoniulus pusillus],,,None found
>XP_064019610.1 glucose-6-phosphatase 2 isoform X3 [Pogoniulus pusillus],,,None found
>XP_064019602.1 glucose-6-phosphatase 2 isoform X2 [Pogoniulus pusillus],,,None found
>XP_064019588.1 glucose-6-phosphatase 2 isoform X1 [Pogoniulus pusillus],,,None found
>XP_063260022.1 glucose-6-phosphatase catalytic subunit 1 [Prinia subflava],,,None found
>XP_063259786.1 glucose-6-phosphatase 3 [Prinia subflava],269,272,AMIDATION
>XP_063259786.1 glucose-6-phosphatase 3 [Prinia subflava],,,None found
>XP_063255896.1 glucose-6-phosphatase 2 [Prinia subflava],,,None found
>XP_063196384.1 glucose-6-phosphatase 2 isoform X2 [Chroicocephalus ridibundus],282,285,PRENYLATION
>XP_063196384.1 glucose-6-phosphatase 2 isoform X2 [Chroicocephalus ridibundus],,,None found
>XP_063196383.1 glucose-6-phosphatase 2 isoform X1 [Chroicocephalus ridibundus],,,None found
>XP_063211033.1 glucose-6-phosphatase catalytic subunit 1 [Chroicocephalus ridibundus],200,203,AMIDATION
>XP_063211033.1 glucose-6-phosphatase catalytic subunit 1 [Chroicocephalus ridibundus],,,None found
>XP_063210308.1 glucose-6-phosphatase 3 [Chroicocephalus ridibundus],,,None found
>XP_063018140.1 glucose-6-phosphatase 2 isoform X3 [Melospiza melodia melodia],,,None found
>XP_063018139.1 glucose-6-phosphatase 2 isoform X2 [Melospiza melodia melodia],,,None found
>XP_063018138.1 glucose-6-phosphatase 2 isoform X1 [Melospiza melodia melodia],,,None found
>XP_063035125.1 LOW QUALITY PROTEIN: glucose-6-phosphatase 3 [Melospiza melodia melodia],,,None found
>XP_063034911.1 glucose-6-phosphatase catalytic subunit 1 [Melospiza melodia melodia],,,None found
>XP_062460789.1 glucose-6-phosphatase 2 isoform X5 [Pezoporus occidentalis],,,None found
>XP_062460787.1 glucose-6-phosphatase 2 isoform X4 [Pezoporus occidentalis],,,None found
>XP_062460786.1 glucose-6-phosphatase 2 isoform X3 [Pezoporus occidentalis],,,None found
>XP_062460785.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus occidentalis],,,None found
>XP_062460784.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus occidentalis],,,None found
>XP_062460783.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus occidentalis],,,None found
>XP_062460782.1 glucose-6-phosphatase 2 isoform X2 [Pezoporus occidentalis],,,None found
>XP_062460781.1 glucose-6-phosphatase 2 isoform X1 [Pezoporus occidentalis],,,None found
>XP_062488123.1 glucose-6-phosphatase 3 [Pezoporus occidentalis],,,None found
>XP_062484842.1 glucose-6-phosphatase catalytic subunit 1 [Pezoporus occidentalis],139,142,AMIDATION
>XP_062484842.1 glucose-6-phosphatase catalytic subunit 1 [Pezoporus occidentalis],,,None found
>XP_062434874.1 glucose-6-phosphatase 2 [Rhea pennata],,,None found
>XP_062451852.1 LOW QUALITY PROTEIN: glucose-6-phosphatase 3 [Rhea pennata],,,None found
